ADMINLINK,EMPLOYEE,WAVE,SCWM_CWH,RMZFN,STUDYGROUP,CONDITION,SCEM_DISTI,SCEM_STRSI,SCWM_FTWCI,SCWM_WTFCI,SCWM_TIMEALLI
T0010,1,3,4.75,1,27,1,7.0,4,2.0,2.0,4.428571428571
T0010,1,4,-8.0,1,27,1,7.0,8,2.2,2.0,4.142857142857
T0011,1,1,2.875,1,27,1,9.0,10,2.0,2.2,3.285714285714
T0011,1,2,3.625,1,27,1,9.0,7,2.0,2.6,3.428571428571
T0011,1,3,3.75,1,27,1,8.0,9,2.0,3.0,3.571428571429
T0011,1,4,3.625,1,27,1,7.0,7,2.0,2.4,3.571428571429
T0012,0,1,3.75,1,27,1,10.0, ,2.4,4.4,-8
T0013,1,1,3.5,1,27,1,10.0,8,3.2,3.2,4.142857142857
T0013,1,2,4.0,1,27,1,8.0,8,2.6,2.6,4.142857142857
T0013,1,3,3.625,1,27,1,8.0,9,2.6,2.8,4
T0013,1,4,3.875,1,27,1,8.0,9,2.4,3.0,4.285714285714
T0014,1,1,3.625,1,27,1,10.0,8,3.6,4.6,3
T0014,1,2,4.0,1,27,1,12.0,11,3.2,3.8,3.285714285714
T0014,1,3,3.375,1,27,1,9.0,7,2.0,3.0,3.142857142857
T0014,1,4,3.625,1,27,1,8.0,10,1.2,2.8,3.285714285714
T0015,1,1,3.75,1,27,1,12.0,9,1.2,2.6,3
T0015,1,2,4.375,1,27,1,13.0,11,2.0,3.4,2.5
T0016,0,1,4.25,1,27,1,7.0, ,2.2,2.2,4.142857142857
T0016,0,2,4.5,1,27,1,7.0, ,1.2,1.6,4.857142857143
T0016,0,3,-8.0,1,27,1,8.0, ,1.2,1.2,4.142857142857
T0016,0,4,4.375,1,27,1,7.0, ,1.8,1.2,3.666666666667
T0017,1,1,3.125,1,27,1,11.0,9,1.2,2.8,4
T0017,1,2,3.0,1,27,1,9.0,9,1.2,3.8,3.333333333333
T0017,1,3,2.25,1,27,1,21.0,10,1.2,4.6, 
T0017,1,4,1.625,1,27,1,16.0,13,2.8,4.8,2
T0018,1,1,2.625,1,27,1,10.0,6,2.0,2.8,4
T0018,1,2,4.25,1,27,1,9.0,4,2.0,2.0,3
T0018,1,3,4.375,1,27,1,8.0,4,1.8,1.8, 
T0018,1,4,4.5,1,27,1,8.0,4,2.0,1.8,4
T0019,1,1,2.625,1,27,1,20.0,17,3.4,3.8,3
T0019,1,2,3.25,1,27,1,16.0,14,2.8,3.6,4.166666666667
T0019,1,3,3.625,1,27,1,11.0,14,2.0,4.2,3.5
T0019,1,4,2.875,1,27,1,18.0,16,1.6,4.2,3.833333333333
T0020,0,1,2.25,1,27,1,14.0, ,3.4,4.6,3.142857142857
T0020,0,2,3.875,1,27,1,11.0, ,2.0,2.8,3.428571428571
T0020,0,3,4.0,1,27,1,9.0, ,2.0,2.8,3.714285714286
T0020,0,4,4.125,1,27,1,9.0, ,2.0,2.0,3.571428571429
T0021,1,1,3.0,1,27,1,9.0,7,2.4,3.2,3.285714285714
T0021,1,2,4.125,1,27,1,7.0,9,2.4,2.2,3.857142857143
T0021,1,3,4.0,1,27,1,7.0,8,2.2,2.2,3.714285714286
T0021,1,4,4.375,1,27,1,10.0,8,2.2,2.2,3.857142857143
T0022,1,1,3.375,1,27,1,8.0,8,2.2,3.4,3.857142857143
T0022,1,2,3.75,1,27,1,9.0,6,3.2,3.6,3.857142857143
T0022,1,3,4.625,1,27,1,7.0,8,3.0,3.0,3.714285714286
T0022,1,4,3.75,1,27,1,7.0,8,2.0,3.0,3.857142857143
T0023,1,1,2.25,1,27,1,12.0,14,3.2,5.0,3
T0023,1,2,4.75,1,27,1,17.0,13,2.4,2.2,3.428571428571
T0023,1,3,4.875,1,27,1,9.0,8,1.6,1.4,4.428571428571
T0023,1,4,4.875,1,27,1,7.0,8,2.4,3.4,4.142857142857
T0024,1,1,3.75,1,27,1,9.0,6,2.6,3.8,4
T0025,0,1,3.625,1,27,1,9.0, ,1.8,4.0,3.714285714286
T0026,1,1,4.375,1,27,1,8.0,6,2.0,3.0,4
T0026,1,2,4.375,1,27,1,6.0,4,2.0,2.0,4
T0026,1,3,4.5,1,27,1,8.0,7,2.2,2.0, 
T0026,1,4,4.25,1,27,1,8.0,7,2.4,2.0,4.571428571429
T0027,1,1,1.875,1,27,1,8.0,11,2.0,4.8,3
T0027,1,2,2.375,1,27,1,10.0,12,2.2,4.6,3.285714285714
T0027,1,3,2.25,1,27,1,9.0,10,2.4,4.2,3.285714285714
T0027,1,4,2.375,1,27,1,8.0,8,2.4,3.8,3.714285714286
T0028,1,1,2.875,1,27,1,14.0,10,3.0,3.0,1
T0028,1,2,3.0,1,27,1,12.0,12,2.4,4.0,3
T0029,1,1,3.625,1,27,1,13.0,11,2.8,4.0,3.666666666667
T0029,1,2,4.375,1,27,1,12.0,7,2.2,2.6,4.333333333333
T0029,1,3,4.625,1,27,1,9.0,6,2.6,2.6,4.166666666667
T0029,1,4,4.25,1,27,1,9.0,7,2.0,3.0,4.333333333333
T0030,0,1,3.625,1,27,1,8.0, ,2.0,3.0,3.857142857143
T0030,0,2,4.0,1,27,1,9.0, ,1.4,3.0,3.857142857143
T0030,0,3,4.25,1,27,1,9.0, ,1.6,3.0,3.666666666667
T0030,0,4,4.25,1,27,1,7.0, ,1.4,2.2,4.285714285714
T0031,1,1,4.375,1,27,1,14.0,9,2.0,2.6,4
T0031,1,2,4.5,1,27,1,14.0,12,1.4,2.4,4
T0031,1,3,4.75,1,27,1,10.0,5,1.0,1.6, 
T0031,1,4,4.75,1,27,1,14.0,16,1.0,2.8,4
T0032,1,1,3.25,1,27,1,9.0,7,2.0,2.2,4.166666666667
T0032,1,2,3.5,1,27,1,10.0,5,2.0,2.4,3.333333333333
T0032,1,3,3.75,1,27,1,9.0,8,2.0,2.6,-8
T0032,1,4,3.625,1,27,1,7.0,7,2.0,2.0,-8
T0033,1,1,4.125,1,27,1,9.0,6,2.0,2.4,4
T0033,1,2,4.75,1,27,1,9.0,5,2.0,3.0,4
T0033,1,3,3.875,1,27,1,9.0,6,2.0,2.4, 
T0033,1,4,4.625,1,27,1,9.0,6,2.0,2.0,4
T0034,1,1,3.625,1,27,1,25.0,15,1.2,3.8,3.428571428571
T0035,1,1,-8.0,1,27,1,13.0,12,2.0,4.0,4
T0035,1,2,3.25,1,27,1,11.0,9,2.0,2.0,3
T0035,1,3,3.875,1,27,1,10.0,8,2.2,2.8, 
T0035,1,4,4.125,1,27,1,7.0,7,2.4,2.4,3.5
T0036,1,1,3.625,1,27,1,15.0,10,2.4,4.6,3.142857142857
T0036,1,2,3.125,1,27,1,10.0,8,2.8,3.4,3.857142857143
T0036,1,3,3.125,1,27,1,13.0,7,2.2,4.0,3.428571428571
T0036,1,4,3.625,1,27,1,12.0,10,3.4,3.6,3.142857142857
T0037,1,1,4.75,1,27,1,12.0,7,1.0,1.6,4.142857142857
T0037,1,2,4.0,1,27,1,12.0,8,2.0,2.2,3.571428571429
T0037,1,3,4.875,1,27,1,10.0,6,1.2,1.8,3.428571428571
T0037,1,4,4.75,1,27,1,11.0,7,1.4,1.6,3.571428571429
T0038,1,1,3.5,1,27,1,9.0,8,2.0,2.6,4.142857142857
T0038,1,2,3.375,1,27,1,8.0,5,2.0,3.0,3.571428571429
T0038,1,3,3.375,1,27,1,10.0,8,2.2,3.4,3.857142857143
T0038,1,4,4.0,1,27,1,8.0,5,2.2,2.8,3.571428571429
T0039,1,1,4.375,1,27,1,13.0,10,3.4,4.2,3
T0039,1,2,3.0,1,27,1,13.0,6,2.8,4.0,3.142857142857
T0039,1,3,3.5,1,27,1,11.0,10,2.4,3.8,3.142857142857
T0039,1,4,4.0,1,27,1,13.0,8,2.2,4.0,3.142857142857
T0040,1,1,4.625,1,27,1,7.0,6,1.0,1.0,4
T0040,1,2,4.625,1,27,1,6.0,10,2.0,2.4,4
T0040,1,3,4.625,1,27,1,6.0,4,2.0,2.0, 
T0040,1,4,4.75,1,27,1,8.0,6,2.0,2.0,4
T0041,1,1,3.125,1,27,1,16.0,13,2.2,3.8,3
T0041,1,2,3.125,1,27,1,18.0,15,2.0,4.0,2.666666666667
T0042,0,1,3.25,1,27,1,11.0, ,1.4,3.2,4
T0042,0,2,3.5,1,27,1,9.0, ,2.0,2.8,4
T0043,1,1,-8.0,1,27,1,12.0,10,2.0,3.8,3.333333333333
T0043,1,2,3.5,1,27,1,16.0,10,2.2,3.6,3
T0044,1,1,4.375,1,27,1,9.0,8,2.0,2.0,4
T0044,1,2,4.25,1,27,1,9.0,8,2.0,2.6,4
T0044,1,3,4.5,1,27,1,13.0,10,2.0,2.2, 
T0044,1,4,4.375,1,27,1,14.0,10,2.0,3.8,4
T0045,1,1,3.125,1,27,1,10.0,9,2.2,3.8,3.666666666667
T0045,1,2,4.125,1,27,1,12.0,10,1.2,2.2,3.666666666667
T0045,1,3,3.875,1,27,1,12.0,10,1.0,2.2, 
T0045,1,4,4.25,1,27,1,9.0,7,1.0,1.6,4.666666666667
T0046,1,1,4.25,1,27,1,13.0,9,2.2,2.6,4.166666666667
T0046,1,2,4.125,1,27,1,10.0,7,2.0,2.0,4.333333333333
T0046,1,3,4.625,1,27,1,10.0,9,2.0,2.4,4.166666666667
T0046,1,4,4.25,1,27,1,12.0,9,2.0,2.0,4
T0047,0,1,3.125,1,27,1,10.0, ,2.2,4.4,3.142857142857
T0047,0,2,3.125,1,27,1,20.0, ,3.6,4.6,2.714285714286
T0047,0,3,3.75,1,27,1,15.0, ,3.8,3.4,3.428571428571
T0047,0,4,4.0,1,27,1,13.0, ,2.6,3.4,3
T0048,1,1,4.375,1,27,1,9.0,4,2.0,2.0,4.428571428571
T0048,1,4,4.625,1,27,1,6.0,4,1.0,1.0,4.857142857143
T0049,1,1,4.375,1,27,1,9.0,6,2.0,2.2,4.285714285714
T0049,1,2,4.625,1,27,1,7.0,5,2.0,2.4,4.142857142857
T0049,1,3,4.625,1,27,1,8.0,7,2.0,2.4,4
T0049,1,4,4.75,1,27,1,9.0,5,1.4,2.0,4.571428571429
T0050,1,1,4.125,1,27,1,10.0,7,2.0,2.6,3.285714285714
T0050,1,2,4.125,1,27,1,12.0,7,1.6,2.4,3.428571428571
T0050,1,3,4.5,1,27,1,11.0,10,1.0,2.6,3.333333333333
T0050,1,4,3.5,1,27,1,11.0,11,2.6,3.0,3.666666666667
T0051,0,1,3.25,1,18,1,16.0, ,2.8,4.0,3.333333333333
T0051,0,2,4.5,1,18,1,10.0, ,1.8,3.0,3.333333333333
T0051,0,3,4.25,1,18,1,9.0, ,2.2,3.8,3.666666666667
T0051,0,4,4.25,1,18,1,11.0, ,2.0,2.8,3
T0052,1,1,-8.0,1,18,1,10.0,5,1.2,2.4,4.5
T0052,1,2,-8.0,1,18,1,7.0,4,1.4,2.2,4
T0052,1,4,-8.0,1,18,1,6.0,5,1.2,2.2,4.666666666667
T0053,1,1,4.625,1,18,1,10.0,10,2.0,2.0,4.571428571429
T0054,0,1,2.625,1,18,1,8.0, ,2.2,4.0,3
T0054,0,2,3.75,1,18,1,8.0, ,2.2,3.4,3
T0054,0,3,3.875,1,18,1,6.0, ,2.2,4.0,3
T0054,0,4,3.0,1,18,1,10.0, ,2.0,3.2,3.333333333333
T0055,1,1,2.625,1,18,1,11.0,9,2.4,3.4,4
T0055,1,2,4.375,1,18,1,9.0,10,1.8,2.0,4.428571428571
T0055,1,3,4.0,1,18,1,17.0,15,2.8,2.6,4.428571428571
T0055,1,4,4.125,1,18,1,8.0,8,3.6,2.2,4
T0056,1,1,3.375,1,18,1,10.0,9,2.6,3.2,3
T0056,1,2,3.25,1,18,1,11.0,10,3.2,3.8,3
T0056,1,3,3.375,1,18,1,11.0,9,3.2,3.2, 
T0056,1,4,3.5,1,18,1,10.0,9,3.8,4.0,3
T0057,1,1,3.125,1,18,1,11.0,10,2.2,4.2,3.5
T0057,1,2,3.875,1,18,1,9.0,7,2.4,3.2,4
T0057,1,3,3.875,1,18,1,10.0,8,2.2,3.8, 
T0057,1,4,4.375,1,18,1,7.0,5,2.0,3.0,4
T0058,1,1,2.625,1,18,1,15.0,13,2.0,3.2,3
T0058,1,2,3.375,1,18,1,12.0,11,2.0,2.4,3
T0058,1,3,3.625,1,18,1,10.0,9,2.0,2.0, 
T0058,1,4,3.125,1,18,1,12.0,10,2.0,3.0,3
T0059,1,1,3.375,1,18,1,9.0,6,3.0,3.4,4
T0059,1,2,3.875,1,18,1,9.0,7,2.0,3.0,4
T0059,1,3,4.125,1,18,1,8.0,6,2.0,2.6,4
T0059,1,4,4.125,1,18,1,7.0,4,2.0,2.8,3.571428571429
T0060,1,1,2.875,1,18,1,11.0,12,2.2,4.0,3.666666666667
T0060,1,2,3.125,1,18,1,11.0,12,2.0,4.0,3.666666666667
T0060,1,3,3.375,1,18,1,9.0,8,1.4,2.4,3.333333333333
T0060,1,4,3.25,1,18,1,11.0,12,2.0,3.6,3.666666666667
T0061,1,1,3.125,1,18,1,11.0,11,2.0,2.2,4
T0061,1,2,3.0,1,18,1,10.0,9,2.2,3.0,3.142857142857
T0062,1,1,2.625,1,18,1,16.0,8,2.4,3.4,3.285714285714
T0062,1,2,3.875,1,18,1,12.0,11,3.2,4.0,3.285714285714
T0062,1,3,3.5,1,18,1,12.0,11,3.4,3.8,3.285714285714
T0062,1,4,3.25,1,18,1,12.0,11,3.0,4.0,3.142857142857
T0063,1,1,4.0,1,18,1,8.0,8,2.8,2.6,3.857142857143
T0063,1,2,4.125,1,18,1,9.0,10,2.6,3.0,3.571428571429
T0063,1,3,4.375,1,18,1,7.0,6,2.4,2.8,3.428571428571
T0063,1,4,4.5,1,18,1,8.0,8,2.0,2.8,3.142857142857
T0064,1,1,3.125,1,18,1,12.0,9,1.6,2.4,4.142857142857
T0064,1,2,3.25,1,18,1,11.0,13,2.0,3.4,3.571428571429
T0064,1,3,4.125,1,18,1,10.0,10,2.0,2.4,3.571428571429
T0064,1,4,3.5,1,18,1,13.0,11,2.0,3.0,3
T0065,1,1,2.125,1,18,1,15.0,8,2.0,2.4,3
T0065,1,2,3.0,1,18,1,17.0,7,2.2,1.8,3
T0065,1,3,3.75,1,18,1,15.0,8,2.2,1.8,2.857142857143
T0065,1,4,2.875,1,18,1,15.0,10,2.6,2.4,3.142857142857
T0066,1,1,2.75,1,18,1,13.0,9,2.0,3.2,3.333333333333
T0066,1,2,2.875,1,18,1,12.0,9,1.8,3.2,4
T0066,1,3,3.25,1,18,1,15.0,10,2.4,3.0, 
T0067,0,1,3.75,1,14,1,12.0, ,2.6,3.0,3.333333333333
T0067,0,2,3.5,1,14,1,11.0, ,2.0,2.2,3.666666666667
T0067,0,3,3.75,1,14,1,10.0, ,2.0,2.2,3.666666666667
T0067,0,4,3.875,1,14,1,9.0, ,2.0,2.0,3.666666666667
T0068,1,1,-8.0,1,14,1,7.0,6,1.6,3.4,2.666666666667
T0068,1,2,3.625,1,14,1,7.0,7,1.2,3.2,3.666666666667
T0068,1,3,3.875,1,14,1,6.0,6,2.0,3.4,2.666666666667
T0068,1,4,4.0,1,14,1,6.0,6,2.4,3.2,3
T0069,1,1,3.875,1,14,1,10.0,6,2.0,2.4,4.428571428571
T0069,1,2,4.75,1,14,1,7.0,4,2.0,2.0,4.571428571429
T0069,1,3,4.5,1,14,1,9.0,7,2.0,2.0,5
T0070,1,1,4.25,1,14,1,10.0,13,2.8,1.6,3.428571428571
T0070,1,2,4.5,1,14,1,10.0,9,2.6,2.6,4
T0070,1,3,4.375,1,14,1,7.0,9,1.8,1.2,4.285714285714
T0070,1,4,4.5,1,14,1,8.0,8,2.8,2.4,3.571428571429
T0071,1,1,4.125,1,14,1,11.0,8,2.2,2.0,3.666666666667
T0071,1,2,4.875,1,14,1,9.0,7,2.0,2.4,3
T0071,1,3,-8.0,1,14,1,8.0,8,2.0,2.2,3.333333333333
T0071,1,4,-8.0,1,14,1,11.0,8,2.2,3.6,3.333333333333
T0072,1,1,3.125,1,14,1,11.0,12,2.2,2.4,4.285714285714
T0072,1,2,4.5,1,14,1,10.0,10,1.8,2.2,3.714285714286
T0072,1,3,4.5,1,14,1,13.0,9,2.0,2.8,4
T0072,1,4,3.0,1,14,1,13.0,10,2.2,3.4,3.714285714286
T0073,1,1,2.875,1,14,1,16.0,14,3.6,3.6,3.285714285714
T0073,1,2,2.375,1,14,1,13.0,11,2.8,3.6,2.714285714286
T0073,1,3,2.625,1,14,1,20.0,12,3.2,3.4,3.285714285714
T0073,1,4,2.625,1,14,1,17.0,13,3.6,3.0,3.142857142857
T0074,1,1,3.375,1,14,1,9.0,10,2.4,2.6,4
T0074,1,2,3.375,1,14,1,7.0,8,2.4,2.6,4
T0074,1,3,3.5,1,14,1,8.0,9,2.0,2.2,4
T0074,1,4,3.625,1,14,1,9.0,8,2.2,3.8,4
T0075,1,1,3.375,1,14,1,15.0,11,3.4,4.8,2.666666666667
T0075,1,2,4.0,1,14,1,14.0,8,3.0,2.2,4
T0075,1,3,3.75,1,14,1,14.0,10,2.8,3.4,3.666666666667
T0075,1,4,3.875,1,14,1,14.0,12,2.8,3.2,3.666666666667
T0076,1,1,2.875,1,14,1,17.0,11,2.0,2.0,3.571428571429
T0076,1,2,3.625,1,14,1,13.0,12,2.0,2.0,3.333333333333
T0076,1,3,3.375,1,14,1,14.0,11,2.0,2.0,3.428571428571
T0077,0,1,4.375,2,4,1,12.0, ,2.0,2.8,3.333333333333
T0077,0,2,4.25,2,4,1,8.0, ,2.0,3.8,3.666666666667
T0077,0,3,4.25,2,4,1,8.0, ,1.6,2.8,4.333333333333
T0077,0,4,3.625,2,4,1,12.0, ,2.0,2.2,3.333333333333
T0078,1,1,2.375,2,4,1,11.0,7,2.4,3.8,4
T0078,1,2,4.25,2,4,1,9.0,11,2.0,4.0,3.333333333333
T0078,1,3,3.25,2,4,1,10.0,10,2.0,4.8,3.333333333333
T0078,1,4,3.625,2,4,1,10.0,11,2.0,4.0,3.333333333333
T0079,1,1,3.125,2,4,1,9.0,9,3.0,3.6,3.142857142857
T0079,1,2,-8.0,2,4,1,11.0,12,2.8,3.4,3.142857142857
T0079,1,3,3.625,2,4,1,13.0,11,3.2,2.8,3.142857142857
T0079,1,4,3.875,2,4,1,12.0,12,3.8,3.2,3.428571428571
T0080,1,1,3.125,2,4,1,14.0,11,3.0,4.0,2.857142857143
T0080,1,2,3.375,2,4,1,11.0,11,3.4,3.8,2.571428571429
T0080,1,3,3.375,2,4,1,12.0,11,4.0,4.0,2.857142857143
T0080,1,4,3.375,2,4,1,9.0,10,3.4,4.0,2.714285714286
T0081,1,1,2.625,2,4,1,17.0,12,2.8,3.6,3.333333333333
T0081,1,2,3.5,2,4,1,11.0,7,2.0,3.0,4
T0081,1,3,3.5,2,4,1,12.0,9,2.0,2.2,3.666666666667
T0081,1,4,3.625,2,4,1,13.0,6,1.8,2.4,4
T0082,1,1,4.375,2,4,1,11.0,8,2.0,3.0,3.857142857143
T0082,1,2,3.625,2,4,1,10.0,9,2.2,2.6,3.857142857143
T0082,1,3,4.25,2,4,1,10.0,9,2.4,2.8,3.714285714286
T0082,1,4,4.0,2,4,1,11.0,8,2.4,3.0,4
T0083,1,1,-8.0,2,4,1,12.0,10,2.6,2.2,4.714285714286
T0083,1,2,3.5,2,4,1,14.0,12,3.8,3.8,3.714285714286
T0083,1,3,4.125,2,4,1,15.0,10,4.0,4.6,3.428571428571
T0083,1,4,3.375,2,4,1,13.0,14,2.6,2.8,3.833333333333
T0084,1,1,3.0,2,4,1,12.0,10,3.4,3.6,4
T0085,0,1,2.625,2,4,1,12.0, ,2.0,4.6,2.5
T0085,0,2,3.75,2,4,1,14.0, ,3.0,4.4,2
T0085,0,3,3.375,2,4,1,13.0, ,3.2,4.4,2.5
T0085,0,4,3.875,2,4,1,12.0, ,2.6,3.8,2.5
T0086,1,1,3.875,2,4,1,11.0,7,1.0,1.4,3.714285714286
T0086,1,2,3.25,2,4,1,12.0,9,2.0,2.6,3.571428571429
T0086,1,3,3.375,2,4,1,10.0,9,3.0,2.8,3.714285714286
T0086,1,4,3.0,2,4,1,10.0,9,2.6,2.8,3.833333333333
T0087,1,1,-8.0,2,4,1,13.0,11,1.0,2.4,4
T0087,1,3,4.625,2,4,1,10.0,13,2.0,2.2,4.142857142857
T0087,1,4,4.375,2,4,1,9.0,9,1.2,2.0,4.428571428571
T0088,1,1,3.75,2,4,1,8.0,7,1.4,1.4,4.285714285714
T0088,1,2,4.625,2,4,1,11.0,8,2.0,1.8,4.142857142857
T0088,1,3,4.5,2,4,1,14.0,10,2.4,2.0,4.142857142857
T0088,1,4,4.75,2,4,1,12.0,8,2.0,2.0,3.857142857143
T0089,1,1,4.25,2,4,1,9.0,11,2.0,2.2,3.714285714286
T0089,1,2,3.625,2,4,1,7.0,8,2.0,3.6,3.428571428571
T0089,1,3,4.625,2,4,1,7.0,11,2.4,2.4,3.428571428571
T0089,1,4,4.5,2,4,1,15.0,12,1.8,1.4,3.857142857143
T0090,0,1,2.625,2,15,1,12.0, ,1.0,4.6,1.333333333333
T0090,0,2,3.125,2,15,1,9.0, ,1.0,3.8,4
T0090,0,3,4.75,2,15,1,7.0, ,2.0,2.6,3.666666666667
T0090,0,4,3.75,2,15,1,15.0, ,2.0,3.2,3.666666666667
T0091,1,1,2.875,2,15,1,13.0,11,3.2,3.4,3
T0091,1,2,3.0,2,15,1,8.0,9,2.2,3.6,3.285714285714
T0091,1,3,2.875,2,15,1,9.0,8,2.2,3.6,3.571428571429
T0091,1,4,3.375,2,15,1,8.0,10,2.0,3.4,3.428571428571
T0092,1,1,3.125,2,15,1,13.0,9,2.8,3.6,4.142857142857
T0092,1,2,3.75,2,15,1,13.0,9,3.2,3.4,4
T0092,1,3,3.875,2,15,1,15.0,10,2.8,3.2,-8
T0092,1,4,4.0,2,15,1,16.0,11,3.0,3.2,3.714285714286
T0093,1,1,2.25,2,15,1,10.0,6,2.0,3.4,4
T0093,1,2,2.25,2,15,1,9.0,7,2.2,4.0,4
T0093,1,3,2.875,2,15,1,7.0,4,2.0,3.0,3.666666666667
T0093,1,4,2.75,2,15,1,7.0,7,1.6,2.8,3.166666666667
T0094,1,1,4.375,2,15,1,11.0,13,2.8,2.0,4.857142857143
T0094,1,2,4.375,2,15,1,12.0,8,1.8,1.0,4.285714285714
T0094,1,3,3.375,2,15,1,9.0,11,2.8,1.0,4.142857142857
T0094,1,4,4.25,2,15,1,14.0,12,1.0,1.4,4
T0095,1,1,2.875,2,15,1,9.0,6,1.8,4.6,2.666666666667
T0095,1,2,3.75,2,15,1,7.0,4,2.2,4.0,3.333333333333
T0095,1,3,4.0,2,15,1,8.0,5,2.2,3.8,3.333333333333
T0095,1,4,3.75,2,15,1,8.0,5,2.4,3.2,3.666666666667
T0096,0,1,3.0,2,4,1,14.0, ,1.6,3.6,3.666666666667
T0096,0,2,-8.0,2,4,1,16.0, ,2.4,4.0,3.333333333333
T0096,0,3,-8.0,2,4,1,19.0, ,2.0,3.0,3.666666666667
T0097,0,1,3.125,2,11,1,12.0, ,2.0,3.4,3.857142857143
T0097,0,2,3.875,2,11,1,20.0, ,2.2,3.2,4.285714285714
T0097,0,3,3.875,2,11,1,11.0, ,2.0,2.0,4.428571428571
T0097,0,4,3.5,2,11,1,22.0, ,2.0,3.0,4.428571428571
T0098,1,1,3.625,2,11,1,9.0,10,3.2,4.0,3.571428571429
T0098,1,2,3.875,2,11,1,16.0,11,3.8,4.6,3.571428571429
T0098,1,3,4.25,2,11,1,13.0,12,3.6,4.0,4
T0098,1,4,4.375,2,11,1,13.0,10,3.6,3.8,4.142857142857
T0099,1,1,-8.0,2,11,1,16.0,14,2.4,4.0,3
T0099,1,2,3.375,2,11,1,12.0,13,3.2,4.2,3
T0099,1,3,-8.0,2,11,1,14.0,11,3.0,4.0,3.5
T0099,1,4,-8.0,2,11,1,20.0,15,3.8,4.2,3.5
T0100,1,1,2.75,2,11,1,12.0,8,3.0,2.8,3.428571428571
T0100,1,2,3.0,2,11,1,9.0,8,2.6,2.8,3.285714285714
T0100,1,3,3.625,2,11,1,12.0,9,3.2,3.2,3.142857142857
T0100,1,4,3.25,2,11,1,12.0,9,2.8,3.0,3.285714285714
T0101,1,1,2.875,2,11,1,19.0,11,2.2,4.2,3
T0101,1,2,3.125,2,11,1,11.0,7,2.2,4.2,2.5
T0101,1,3,3.0,2,11,1,9.0,9,2.0,4.0,3
T0101,1,4,3.5,2,11,1,13.0,7,2.2,4.0,3
T0102,1,1,3.625,2,11,1,6.0,5,2.6,4.0,4
T0102,1,2,3.625,2,11,1,7.0,6,2.2,4.0,-8
T0102,1,3,4.25,2,11,1,6.0,5,2.2,3.8,4
T0102,1,4,3.875,2,11,1,6.0,6,2.4,3.4,4
T0103,1,1,4.375,2,11,1,8.0,6,2.6,3.0,3
T0104,1,1,3.375,2,11,1,10.0,9,2.8,3.2,3.142857142857
T0104,1,2,2.75,2,11,1,12.0,12,3.2,3.4,3.285714285714
T0104,1,3,3.625,2,11,1,16.0,10,2.4,3.4,-8
T0104,1,4,3.5,2,11,1,13.0,13,3.0,3.4,-8
T0105,1,1,2.875,2,11,1,19.0,8,1.6,5.0,2.571428571429
